Division No.,Member Name,Constiituency,State,No of Days Member signed the register,StartDate,EndDate
35,Dr. Nishikant Dubey,Godda,Jharkhand,37 ,17-06-2019,06-08-2019
147,Shri Pashupati Nath Singh,Dhanbad,Jharkhand,37 ,17-06-2019,06-08-2019
223,Shri Sudarshan Bhagat,Lohardaga,Jharkhand,37 ,17-06-2019,06-08-2019
99,Shri R.K. Singh Patel,Banda,Uttar Pradesh,35 ,17-06-2019,06-08-2019
40,Shri Shivkumar Chanabasappa Udasi,Haveri,Karnataka,35 ,17-06-2019,06-08-2019
525,Shri Vincent H. Pala,Shillong,Meghalaya,32 ,17-06-2019,06-08-2019
46,Shri Lalubhai Babubhai Patel,Daman and Diu,Dadra and Nagar Haveli and Daman and Diu,36 ,17-06-2019,06-08-2019
284,Shri Prataprao Ganpatrao Jadhav,Buldhana,Maharashtra,28 ,17-06-2019,06-08-2019
524,Chh. Udayanraje Pratapsinha Maharaj Bhonsle,Satara,Maharashtra,6 ,17-06-2019,06-08-2019
501,Smt. Supriya Sule,Baramati,Maharashtra,36 ,17-06-2019,06-08-2019
11,Shri Arjun Ram Meghwal,Bikaner,Rajasthan,1 ,17-06-2019,06-08-2019
221,Shri Devji Mansingram Patel,Jalore,Rajasthan,35 ,17-06-2019,06-08-2019
517,Shri Ravneet Singh,Ludhiana,Punjab,36 ,17-06-2019,06-08-2019
513,Shri Manish Tewari,Chandigarh,Chandigarh,33 ,17-06-2019,06-08-2019
303,Smt. Harsimrat Kaur Badal,Bathinda,Punjab,2 ,17-06-2019,06-08-2019
389,Maulana Badruddin Ajmal,Dhubri,Assam,18 ,17-06-2019,06-08-2019
146,Dr. (Prof.) Kirit Premjibhai Solanki,Ahmedabad West,Gujarat,37 ,17-06-2019,06-08-2019
149,Shri Naranbhai Bhikhabhai Kachhadiya,Amreli,Gujarat,37 ,17-06-2019,06-08-2019
68,Smt. Darshana Vikram Jardosh,Surat,Gujarat,37 ,17-06-2019,06-08-2019
78,Shri Chandrakant Raghunath Patil,Navsari,Gujarat,35 ,17-06-2019,06-08-2019
314,Shri Baidyanath Prasad Mahto,Valmiki Nagar,Bihar,31 ,17-06-2019,06-08-2019
30,Dr. Sanjay Jaiswal,Paschim Champaran,Bihar,34 ,17-06-2019,06-08-2019
160,Shri Pradeep Kumar Singh,Araria,Bihar,35 ,17-06-2019,06-08-2019
365,Shri Kaushalendra Kumar,Nalanda,Bihar,37 ,17-06-2019,06-08-2019
377,Shri Mahabali Singh,Karakat,Bihar,36 ,17-06-2019,06-08-2019
441,Dr. Kakoli Ghosh Dastidar,Barasat,West Bengal,28 ,17-06-2019,06-08-2019
485,Shri Choudhury Mohan Jatua,Mathurapur,West Bengal,25 ,17-06-2019,06-08-2019
433,Shri Kalyan Banerjee,Sreerampur,West Bengal,28 ,17-06-2019,06-08-2019
429,Shri Sisir Kumar Adhikari,Kanthi,West Bengal,23 ,17-06-2019,06-08-2019
445,Smt. Satabdi Roy,Birbhum,West Bengal,29 ,17-06-2019,06-08-2019
76,Shri Uday Pratap Singh,Hoshangabad,Madhya Pradesh,36 ,17-06-2019,06-08-2019
447,Shri P.R. Natarajan,Coimbatore,Tamil Nadu,37 ,17-06-2019,06-08-2019
434,Dr. Thirumaavalavan Tholkappiyan,Chidambaram,Tamil Nadu,35 ,17-06-2019,06-08-2019
510,Shri Manickam Tagore B,Virudhunagar,Tamil Nadu,34 ,17-06-2019,06-08-2019
522,Shri K Sudhakaran,Kannur,Kerala,31 ,17-06-2019,06-08-2019
514,Shri M K Raghavan,Kozhikode,Kerala,37 ,17-06-2019,06-08-2019
435,Shri E T Mohammed Basheer,Malappuram,Kerala,33 ,17-06-2019,06-08-2019
439,Dr. Shashi Tharoor,Thiruvananthapuram,Kerala,35 ,17-06-2019,06-08-2019
