Division No.,Member Name,Constiituency,State,No of Days Member signed the register
482,Smt. Geeta Kora,Singhbhum,Jharkhand,1 
491,Shri Kuldeep Rai Sharma,Andaman and Nicobar Islands,Andaman and Nicobar Islands,19 
523,Shri Ve Vaithilingam,Puducherry,Puducherry,13 
453,Adv. A. M. Ariff,Alappuzha,Kerala,19 
483,Ms. Ramya Haridas,Alathur,Kerala,19 
530,Adv. Adoor Prakash,Attingal,Kerala,20 
526,Shri Benny Behanan,Chalakudy,Kerala,17 
538,Shri Hibi Eden,Ernakulam,Kerala,18 
544,Adv Dean Kuriakose,Idukki,Kerala,19 
541,Shri Rajmohan Unnithan,Kasaragod,Kerala,17 
546,Shri V K Sreekandan,Palakkad,Kerala,18 
540,Shri T.N. Prathapan,Thrissur,Kerala,19 
456,Shri Thomas Chazhikadan,Kottayam,Kerala,17 
92,Prof. Rita Bahuguna Joshi,Allahabad,Uttar Pradesh,14 
399,Shri Ritesh Pandey,Ambedkar Nagar,Uttar Pradesh,19 
382,Kunwar Danish Ali,Amroha,Uttar Pradesh,19 
50,Dr. Sanghamitra Maurya,Badaun,Uttar Pradesh,20 
175,Shri Akshaibar Lal,Bahraich,Uttar Pradesh,16 
191,Shri Upendra Singh Rawat,Barabanki,Uttar Pradesh,15 
194,"Bind, Dr. Ramesh Chand",Bhadohi,Uttar Pradesh,20 
374,Shri Malook Nagar,Bijnor,Uttar Pradesh,20 
177,Dr. Ramapati Ram Tripathi,Deoria,Uttar Pradesh,19 
196,Shri Rajkumar Chahar,Fatehpur Sikri,Uttar Pradesh,20 
254,Shri Ravindra Shukla Alias Ravi Kishan,Gorakhpur,Uttar Pradesh,16 
169,Shri Rajveer Diler,Hathras,Uttar Pradesh,20 
390,Shri Shyam Singh Yadav,Jaunpur,Uttar Pradesh,19 
174,Shri Anurag Sharma,Jhansi,Uttar Pradesh,19 
198,Shri Pradeep Kumar Chaudhary,Kairana,Uttar Pradesh,20 
333,Shri Subrat Pathak,Kannauj,Uttar Pradesh,17 
189,Shri Vijay Kumar Dubey,Kushi Nagar,Uttar Pradesh,16 
290,Smt. Sangeeta Azad,Lalganj,Uttar Pradesh,19 
190,Shri  Bholanath (B.P. Saroj),Machhlishahr,Uttar Pradesh,20 
462,Dr. S.T. Hasan,Moradabad,Uttar Pradesh,14 
285,Shri Girish Chandra,Nagina,Uttar Pradesh,19 
51,Smt. Keshari Devi Patel,Phulpur,Uttar Pradesh,20 
193,Shri Sangamlal Kadedin Gupta,Pratapgarh,Uttar Pradesh,18 
514,Shri Mohammad Azam Khan,Rampur,Uttar Pradesh,14 
408,Shri Haji Fazlur Rehman,Saharanpur,Uttar Pradesh,10 
173,Shri Arun Kumar Sagar,Shahjahanpur,Uttar Pradesh,19 
368,Shri Ram Shiromani Verma,Shrawasti,Uttar Pradesh,20 
548,Shri Jasbir Singh Gill,Khadoor Sahib,Punjab,20 
322,Shri Sunny Deol,Gurdaspur,Punjab,13 
552,Mohammad Sadique,Faridkot,Punjab,10 
533,Dr. Amar Singh,Fatehgarh Sahib,Punjab,19 
424,Shri Ajay Kumar Mandal,Bhagalpur,Bihar,2 
184,Shri Devendrappa Y,Bellary,Karnataka,10 
54,Shri Bache Gowda B.N.,Chikkballapur,Karnataka,3 
55,Shri Annasaheb Shankar Jolle,Chikkodi,Karnataka,8 
133,Shri Narayana Swamy Abbaiah,Chitradurga,Karnataka,8 
118,Shri Gopal Jee Thakur,Darbhanga,Bihar,20 
412,Shri Vijay Kumar,Gaya,Bihar,14 
181,Dr. Umesh G. Jadhav,Gulbarga,Karnataka,17 
182,Shri S. Muniswamy,Kolar,Karnataka,10 
111,Smt. Sumalatha Ambareesh,Mandya,Karnataka,12 
183,Shri Raja Amareshwara Naik,Raichur,Karnataka,20 
121,Shri Tejasvi Surya,Bangalore South,Karnataka,15 
488,Shri Prajwal Revanna,Hassan,Karnataka,5 
329,Shri Hemant Shriram Patil,Hingoli,Maharashtra,15 
487,Dr. Amol Ramsing Kolhe,Shirur,Maharashtra,11 
271,Shri Unmesh Bhaiyyasaheb Patil,Jalgaon,Maharashtra,15 
339,Shri Dhairyasheel Sambhajirao Mane,Hatkanangle,Maharashtra,12 
114,Shri Sunil Baburao Mendhe,Bhandara-Gondiya,Maharashtra,20 
340,Shri Omprakash Bhupalsinh Alias Pavan Rajenimbalkar,Osmanabad,Maharashtra,18 
522,Shri Balubhau Narayanrao (Alias Suresh) Dhanorkar,Chandrapur,Maharashtra,12 
219,Smt Navneet Ravi Rana,Amravati,Maharashtra,16 
330,Prof. Sanjay Sadashivrao Mandlik,Kolhapur,Maharashtra,11 
267,Shri Ranjeetsingh Naik Nimbalkar,Madha,Maharashtra,6 
270,Dr. Jaisiddeshwar Shivacharya Mahaswamiji,Solapur,Maharashtra,16 
266,Shri Sudhakar Tukaram Shrangare,Latur,Maharashtra,19 
265,Dr. Sujay Radhakrishna Vikhepatil,Ahmednagar,Maharashtra,18 
268,Shri Prataprao  Patil Chikhalikar,Nanded,Maharashtra,16 
268,Shri Girish Bhalchandra Bapat,Pune,Maharashtra,17 
326,Shri Tatkare Sunil Dattatrey,Raigad,Maharashtra,13 
472,"Syed Imtiaz Jaleel, Shri",Aurangabad,Maharashtra,18 
71,Dr. Bharati Pravin Pawar,Dindori,Maharashtra,19 
269,Shri Manoj Kishorbhai Kotak,Mumbai-North-East,Maharashtra,20 
171,Shri Bhagirath Choudhary,Ajmer,Rajasthan,20 
170,Shri Balak Nath,Alwar,Rajasthan,13 
398,Shri Hanuman Beniwal,Nagaur,Rajasthan,19 
162,Shri Kanakmal Katara,Banswara,Rajasthan,18 
49,Smt. Ranjeeta Koli,Bharatpur,Rajasthan,20 
222,Km. Diya Kumari,Rajsamand,Rajasthan,19 
335,Shri Narendra Kumar,Jhunjhunu,Rajasthan,16 
393,Dr. Alok Kumar Suman,Gopalganj,Bihar,16 
277,Shri Pashupati Kumar Paras,Hajipur,Bihar,14 
404,Shri Chandeshwar Prasad,Jahanabad,Bihar,11 
386,Shri Ramprit Mandal,Jhanjharpur,Bihar,17 
385,Shri Dulal Chandra Goswami,Katihar,Bihar,19 
527,Dr. Mohammad Jawed,Kishanganj,Bihar,20 
117,Shri Ashok Kumar Yadav,Madhubani,Bihar,19 
312,Shri Chandan Singh,Nawada,Bihar,15 
403,Shri  Sunil Kumar Pintu,Sitamarhi,Bihar,12 
394,Smt. Kavita Singh,Siwan,Bihar,15 
378,Shri Dileshwar Kamait,Supaul,Bihar,20 
308,Smt. Veena Devi,Vaishali,Bihar,18 
185,Dr. Jadon Chandra Sen,Firozabad,Uttar Pradesh,20 
192,Shri Satyadev Pachauri,Kanpur,Uttar Pradesh,18 
291,Shri C. Lalrosanga,Mizoram,Mizoram,15 
518,Thiru D M Kathir Anand,Vellore,Tamil Nadu,18 
292,Shri  Prince Raj,Samastipur,Bihar,19 
130,Shri Santosh Kumar Gangwar,Bareilly,Uttar Pradesh,0 
56,Shri Rattan Lal Kataria,Ambala,Haryana,0 
13,Shri Shripad Yesso Naik,North Goa,Goa,0 
189,Shri Prahlad Singh Patel,Damoh,Madhya Pradesh,0 
127,Shri Raosaheb Dadarao Danve,Jalna,Maharashtra,0 
432,Dr. Farooq Abdullah,Srinagar,Jammu and Kashmir,0 
126,Shri Rao Inderjit Singh,Gurgaon,Haryana,0 
9,Shri Kiren Rijiju,Arunachal West,Arunachal Pradesh,0 
202,Shri Devaragunda Venkappa Sadananda Gowda,Bangalore North,Karnataka,0 
7,Shri Pralhad Joshi,Dharwad,Karnataka,0 
105,Shri Suresh Chanabasappa Angadi,Belgaum,Karnataka,0 
47,Shri Sanjay Shamrao Dhotre,Akola,Maharashtra,0 
61,Shri Anurag Singh Thakur,Hamirpur,Himachal Pradesh,0 
2,Shri Rajnath Singh,Lucknow,Uttar Pradesh,0 
200,Shri Arjun Munda,Khunti,Jharkhand,0 
11,Shri Arjun Ram Meghwal,Bikaner,Rajasthan,0 
303,Smt. Harsimrat Kaur Badal,Bathinda,Punjab,0 
5,Shri Narendra Singh Tomar,Morena,Madhya Pradesh,0 
1,Shri Narendra Modi,Varanasi,Uttar Pradesh,0 
18,Dr. Vijay Kumar Singh General (Retd.),Ghaziabad,Uttar Pradesh,0 
22,Sadhvi Niranjan Jyoti,Fatehpur,Uttar Pradesh,0 
21,Shri Nityanand Rai,Ujiarpur,Bihar,0 
19,Shri Krishan Pal Gurjar,Faridabad,Haryana,0 
62,Shri Giriraj Singh,Begusarai,Bihar,0 
128,Shri Ashwini Kumar Choubey,Buxar,Bihar,0 
10,Shri Raj Kumar Singh,Arrah,Bihar,0 
8,Shri Gajendra Singh Shekhawat,Jodhpur,Rajasthan,0 
25,Shri  Babul Supriyo,Asansol,West Bengal,0 
204,Dr. Ramesh Pokhriyal Nishank,Hardwar,Uttarakhand,0 
203,Dr.  Harsh Vardhan,Chandni Chowk,NCT of Delhi,0 
449,Shri Vijay Kumar Hansdak,Rajmahal,Jharkhand,0 
60,Dr. Mahendra Nath Pandey,Chandauli,Uttar Pradesh,0 
20,Dr. Sanjeev Kumar Balyan,Muzaffarnagar,Uttar Pradesh,0 
4,Shri Nitin Jairam Gadkari,Nagpur,Maharashtra,0 
41,Shri Pratap Chandra Sarangi,Balasore,Odisha,0 
70,Smt. Renuka Singh,Surguja,Chhattisgarh,0 
3,Shri Amit Shah,Gandhinagar,Gujarat,0 
143,Km. Debasree Chaudhuri,Raiganj,West Bengal,0 
201,Shri G Kishan Reddy,Secunderabad,Telangana,0 
298,Shri Chandra Prakash Choudhary,Giridih,Jharkhand,0 
123,Smt. Smriti Zubin Irani,Amethi,Uttar Pradesh,0 
421,Shri Atul Rai,Ghosi,Uttar Pradesh,0 
24,Shri Som Parkash,Hoshiarpur,Punjab,0 
132,Shri Kailash Choudhary,Barmer,Rajasthan,0 
138,Shri Ravi Shankar Prasad,Patna Sahib,Bihar,0 
