Division No.,Member Name,Constiituency,State,No of Days Member signed the register
86,Shri Tapir Gao,Arunachal East,Arunachal Pradesh,20 
137,Shri Gowdar Mallikarjunappa Siddeshwara,Davanagere,Karnataka,11 
33,Shri Gaddigoudar Parvatagouda Chandanagouda,Bagalkot,Karnataka,20 
29,Shri Ganesh Singh,Satna,Madhya Pradesh,18 
22,Shri Rakesh Singh,Jabalpur,Madhya Pradesh,16 
217,Shri Dushyant Singh,Jhalawar-Baran,Rajasthan,18 
307,Shri Guharam Ajgalley,Janjgir-Champa,Chhattisgarh,19 
362,Shri Balashowry Vallabhaneni,Machilipatnam,Andhra Pradesh,15 
364,Shri Chandra Sekhar Sahu,Berhampur,Odisha,2 
505,Shri Rahul Gandhi,Rae Bareli,Uttar Pradesh,8 
448,Shri Subbarayan K,Tiruppur,Tamil Nadu,17 
444,Shri Asaduddin Owaisi,Hyderabad,Telangana,15 
148,Shri Ashok Kumar Rawat,Misrikh,Uttar Pradesh,16 
354,Shri Rajiv Ranjan Singh,Munger,Bihar,17 
507,Thiru Dayanidhi Maran,Chennai Central,Tamil Nadu,16 
390,Shri Afzal Ansari,Ghazipur,Uttar Pradesh,18 
516,Shri Abu Hasem Khan Choudhury,Maldaha Dakshin,West Bengal,19 
282,Smt. Agatha K. Sangma,Tura,Meghalaya,9 
36,Shri Rajendra Agrawal,Meerut,Uttar Pradesh,20 
222,Prof. (Dr.) Ram Shankar Katheria,Etawah,Uttar Pradesh,16 
226,Shri Feroze Varun Gandhi,Pilibhit,Uttar Pradesh,20 
144,Shri Jagdambika Pal,Domariyaganj,Uttar Pradesh,20 
300,Shri Kamlesh Paswan,Bansgaon,Uttar Pradesh,19 
325,Shri Pakauri Lal,Robertsganj,Uttar Pradesh,19 
37,Shri Nalin Kumar Kateel,Dakshina Kannada,Karnataka,9 
145,Shri P C Mohan,Bangalore Central,Karnataka,7 
359,Shri Nama Nageswara Rao,Khammam,Telangana,20 
35,Dr. Nishikant Dubey,Godda,Jharkhand,20 
147,Shri Pashupati Nath Singh,Dhanbad,Jharkhand,7 
223,Shri Sudarshan Bhagat,Lohardaga,Jharkhand,5 
99,Shri R.K. Singh Patel,Banda,Uttar Pradesh,16 
40,Shri Shivkumar Chanabasappa Udasi,Haveri,Karnataka,11 
525,Shri Vincent H. Pala,Shillong,Meghalaya,20 
